participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,trial_5,trial_5_correct_answer,trial_5_response,trial_5_score,trial_6,trial_6_correct_answer,trial_6_response,trial_6_score,total_score,notes,exclude,exclude_reason,notes
52,7/19/2024,Grannys_Gratitude_Stickers_20240719_3,234261,19039512-8c66-4fd2-b6d3-61051e57cbb9,1461-1826,1800,4.93,female,en ru,benji,harry,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,3,,,,
53,7/21/2024,Grannys_Gratitude_Stickers_20240721_2,234567,6fe86120-dfe8-4817-bfee-9dbdb6470ccc,1461-1826,1710,4.68,female,en ml,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_rock_wine_correct_right_billy,billy,amber,0,4,,,,
54,7/22/2024,Grannys_Gratitude_Stickers_20240722_1,234653,3a3600cf-4bb3-4ebf-aead-08ef63a1e34a,1461-1826,1770,4.85,male,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,5,,,,
55,7/22/2024,Grannys_Gratitude_Stickers_20240722_5,234756,6b675883-a9a6-4cc1-9826-af9d9c34a0e9,1461-1826,1680,4.60,female,en ro,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,left,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_right_lucas,lucas,not lucas (they said the other name),0,exp7_rock_wine_correct_left_amber,amber,amber,1,4,,,,
56,7/23/2024,Grannys_Gratitude_Stickers_20240723_5,235208,48f90bc9-9b60-4aaf-a265-184a358b93e8,1461-1826,1620,4.44,female,en cmn,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_bear_water_correct_right_connor,connor,connor,1,4,,,,
57,7/24/2024,Grannys_Gratitude_Stickers_20240724_2,235380,aec7dc64-6e77-4d48-837f-84e5b393e558,1461-1826,1650,4.52,female,en es,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_bear_water_correct_left_vicky,vicky,not vicky (the said the other person),0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,2,,,,
58,7/25/2024,Grannys_Gratitude_Stickers_20240725_3,235632,f3d8bc67-51d9-47ef-8b2f-f83264c162f7,1461-1826,1770,4.85,female,en es,benji,harry,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_left_amber,amber,amber,1,3,,,,
59,7/25/2024,Grannys_Gratitude_Stickers_20240725_2,235585,e58de802-5620-469d-bbb4-c7fdb3b1fa03,1461-1826,1530,4.19,male,en cmn,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,1,,,,
60,12/30/2024,Grannys_Gratitude_Stickers_20241230_2,278472,7f7b2a94-2b37-4b09-9a60-45a0e0d12fd8,1461-1826,1620,4.44,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bear_water_correct_right_connor,connor,connor,1,4,,,,
61,4/10/2024,Grannys_Gratitude_Stickers_20240410_1,208017,4d2cd68e-9735-460e-9445-4cb3e1985173,1826-2191,1860,5.10,female,en cmn,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,5,,,,
62,4/10/2024,Grannys_Gratitude_Stickers_20240410_2,208023,6f2e8c21-2bd9-4f53-a158-4ccae35fd731,1826-2191,1860,5.10,female,en cmn,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,3,,,,
63,4/11/2024,Grannys_Gratitude_Stickers_20240411_6,208236,e0f03db6-b844-4bbb-8bbd-92d45b48486c,1826-2191,2160,5.92,male,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,6,rockstar,,,
64,4/11/2024,Grannys_Gratitude_Stickers_20240411_10,208267,23851660-f390-4814-9bc6-09abd61d7e38,1826-2191,2010,5.51,male,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,3,,,,
65,4/11/2024,Grannys_Gratitude_Stickers_20240411_12,208280,c201619c-63d6-444c-ba9f-6311596e9668,1826-2191,1980,5.42,female,en,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_bear_water_correct_right_connor,connor,vicky,0,3,,,,
66,4/11/2024,Grannys_Gratitude_Stickers_20240411_14,208307,d42955cd-86f4-4cf2-a524-2e4cd31e186f,1826-2191,2130,5.84,male,en cmn es,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bear_water_correct_right_connor,connor,vicky,0,3,,,,
67,4/14/2024,Grannys_Gratitude_Stickers_20240414_8,209187,2592f6fe-2837-405c-9f03-051abcbe4709,1826-2191,2070,5.67,female,en so,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,6,,,,
68,4/15/2024,Grannys_Gratitude_Stickers_20240415_3,209246,96f8143c-f96d-4761-bbee-201d25d2daf1,1826-2191,2100,5.75,female,en fr,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,2,,,,
69,4/18/2024,Grannys_Gratitude_Stickers_20240418_6,210367,50216243-f9c3-4515-bea1-02ac5802406,1826-2191,1950,5.34,female,en,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_right_connor,connor,charlie,0,5,,,,
70,4/19/2024,Grannys_Gratitude_Stickers_20240419_1,210465,a3163518-a84c-4c82-9910-0e3df5191cfa,1826-2191,2010,5.51,male,en nl,benji,harry,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,2,,,,
71,4/16/2024,Grannys_Gratitude_Stickers_20240416_8,209807,6bdd70e1-b595-4362-ae35-4f9367b6223a,1826-2191,1950,5.34,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,6,,,,
72,4/29/2024,Grannys_Gratitude_Stickers_20240429_4,212905,88a2f154-48a5-4dae-bbb1-3d378935b361,1826-2191,1830,5.01,female,en,benji,harry,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_rock_wine_correct_right_billy,billy,billy,1,2,,,,
73,4/30/2024,Grannys_Gratitude_Stickers_20240430_7,213142,6a7a7d74-82d0-4098-a44c-0586f582399d,1826-2191,2040,5.59,female,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,3,,,,
74,5/1/2024,Grannys_Gratitude_Stickers_20240501_2,213212,d174dd5a-d2bd-4c26-8199-37de988b2af3,1826-2191,2130,5.84,male,en es,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,3,,,,
75,5/1/2024,Grannys_Gratitude_Stickers_20240501_3,213216,b9973b34-f5c5-414e-90da-58d2d47c1b4c,1826-2191,2040,5.59,male,en,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_rock_wine_correct_left_amber,amber,billy,0,1,,,,
76,5/1/2024,Grannys_Gratitude_Stickers_20240501_5,213278,64596239-1e14-417c-bec8-1ea3d7b798a9,1826-2191,1980,5.42,female,en,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas (right),1,exp7_rock_wine_correct_left_amber,amber,billy? (right),0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie (left),1,exp7_basketball_egg_correct_left_charlie,charlie,noah (right),0,exp7_apple_trashcan_correct_left_lily,lily,alex (right),0,3,,,,
77,5/1/2024,Grannys_Gratitude_Stickers_20240501_9,213339,8631f05f-2f99-4ec6-b1cd-938064e2d73e,1826-2191,2010,5.51,female,en fr,benji,harry,exp7_rock_wine_correct_right_billy, billy,amber,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_apple_trashcan_correct_right_alex,alex ,alex ,1,4,,,,
78,5/3/2024,Grannys_Gratitude_Stickers_20240503_6,213740,a72e5b8e-92f7-471e-9fee-8dc488997ebe,1826-2191,1920,5.26,female,en es,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_rock_wine_correct_right_billy,billy,amber,0,4,,,,
79,5/5/2024,Grannys_Gratitude_Stickers_20240505_6,213962,b71f92b4-9183-4209-9c0d-ae40887dea65,1826-2191,1830,5.01,male,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,1,,,,
80,5/5/2024,Grannys_Gratitude_Stickers_20240505_9,213997,7b9b64e6-861c-4ee3-a132-90c4c02eae85,1826-2191,2010,5.51,female,en cmn,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_basketball_egg_correct_left_charlie,charlie,right,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,2,,,,
81,5/7/2024,Grannys_Gratitude_Stickers_20240507_4,214426,169c2c9a-1894-4302-b687-f492bb0957e3,1826-2191,1830,5.01,female,en,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,noah (right),0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_glass_beanbag_correct_left_emily,emily,lucas (right),0,4,,,,
82,5/7/2024,Grannys_Gratitude_Stickers_20240507_7,214508,790deee5-b2f9-4349-aff4-b07f80a31403,1826-2191,1950,5.34,female,en,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,2,,,,
83,5/7/2024,Grannys_Gratitude_Stickers_20240507_9,214555,8af2d8cb-b8f0-4348-ae01-9b5f97429363,1826-2191,2070,5.67,female,en ru es,benji,harry,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,0,,,,
84,5/8/2024,Grannys_Gratitude_Stickers_20240508_1,214736,6a8b7c45-d86c-4d4e-a672-8007a8a4ab59,1826-2191,1890,5.18,male,en rs ,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,5,,,,
85,4/16/2024,Grannys_Gratitude_Stickers_20240416_8,209807,6bdd70e1-b595-4362-ae35-4f9367b6223a,1826-2191,1950,5.34,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,6,,,,
86,6/21/2024,Grannys_Gratitude_Stickers_20240621_7,225880,a2a5ff5f-cae0-4814-8db8-79bfef14b020,1826-2191,1860,5.10,male,en,benji,harry,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_left_emily,emiliy,lucas,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,3,,,,
87,6/22/2024,Grannys_Gratitude_Stickers_20240622_8,226204,d8fdcca3-42c5-402f-b1b3-4b2c263c2144,1826-2191,1890,5.18,male,en yue,benji,harry,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,5,,,,
88,6/22/2024,Grannys_Gratitude_Stickers_20240622_10,226220,e31a2057-e4de-470b-aa4a-eba62691928e,1826-2191,2040,5.59,female,en,benji,harry,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,2,,,,
89,7/23/2024,Grannys_Gratitude_Stickers_20240723_2,235120,7b4de25a-e6d6-4673-8d91-09b06a2c9ccb,1826-2191,2070,5.67,male,en es,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie/left,1,3,,,,
90,7/23/2024,Grannys_Gratitude_Stickers_20240723_3,235145,ba5d100c-9834-45b4-a32d-b90ba1c71080,1826-2191,2070,5.67,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,3,,,,
91,4/10/2024,Grannys_Gratitude_Stickers_20240410_5,208060,c03f3747-317d-47c6-b9fc-2aa7d34c7cbc,2191-2556,2460,6.74,female,en bn hi es,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,4,,,,
92,4/11/2024,Grannys_Gratitude_Stickers_20240411_17,208331,f3b0f757-2b32-42ae-9b0c-c271e766c2c1,2191-2556,2250,6.16,male,en wuu,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_left_amber,amber,billy,0,4,,,,
93,4/13/2024,Grannys_Gratitude_Stickers_20240413_7,208733,b632ff2c-7f07-4059-8db8-f4d062fad669,2191-2556,2430,6.66,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,6,,,,
94,4/13/2024,Grannys_Gratitude_Stickers_20240413_17,208814,9163792e-cb9f-47d3-bd62-44f15c20fa93,2191-2556,2220,6.08,female,en,benji,harry,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_bear_water_correct_right_connor,connor,connor,1,3,,,,
95,4/14/2024,Grannys_Gratitude_Stickers_20240414_5,209098,3b454bf3-26da-4117-926a-0a1703835184,2191-2556,2310,6.33,female,en ja,benji,harry,exp7_bear_water_correct_left_vicky, vicky,connor,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,1,,,,
96,4/15/2024,Grannys_Gratitude_Stickers_20240415_6,209356,fbb2ba55-e173-469c-b2a0-1805160e1b4d,2191-2556,2280,6.25,female,en,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_right_billy,billy,amber,0,4,,,,
97,4/15/2024,Grannys_Gratitude_Stickers_20240415_7,209386,34a66b98-7723-49a8-9b04-c80cb17701cd,2191-2556,2200,6.03,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_rock_wine_correct_right_billy,billy,billy,1,4,,,,
98,4/15/2024,Grannys_Gratitude_Stickers_20240415_9,209396,2317fbd2-95d9-41c4-85c9-f49bcdd15459,2191-2556,2550,6.99,male,en so,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bear_water_correct_right_connor,connor,connor,1,6,,,,
99,4/17/2024,Grannys_Gratitude_Stickers_20240417_16,210137,3eb0822d-3660-4e04-9163-7078003fb0c9,2191-2556,2430,6.66,female,en,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_right_billy,billy,billy,1,5,,,,
100,4/29/2024,Grannys_Gratitude_Stickers_20240429_6,212932,5880a7e2-8fff-4537-9527-baa60e58fdbb,2191-2556,2370,6.49,female,en,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,4,,,,
101,4/30/2024,Grannys_Gratitude_Stickers_20240430_9,213157,7870811b-8bd4-4e77-994e-ae60778b0b93,2191-2556,2370,6.49,female,en fr,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,6,,,,
102,5/1/2024,Grannys_Gratitude_Stickers_20240501_10,213346,ade32016-a4e7-4f4e-bbc5-bd9696b5fe87,2191-2556,2490,6.82,male,en ur,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bear_water_correct_right_connor,connor,connor,1,4,,,,
103,5/1/2024,Grannys_Gratitude_Stickers_20240501_12,213363,9881e223-0ed2-4c7e-9713-e2b0e4e3d0f6,2191-2556,2370,6.49,female,en ta,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_bear_water_correct_left_vicky,vicky,alex,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,5,,,,
